state,gini
India,0.35
Andaman and Nicobar Islands,0.33
Andhra Pradesh,0.32
Arunachal Pradesh,0.34
Assam,0.26
Bihar,0.24
Chandigarh,0.39
Chhattisgarh,0.31
Dadra and Nagar Haveli,0.35
Daman and Diu,0.28
Goa,0.25
Gujarat,0.31
Haryana,0.34
Himachal Pradesh,0.30
Jammu and Kashmir,0.26
Jharkhand,0.30
Karnataka,0.39
Kerala,0.38
Lakshadweep,0.31
Madhya Pradesh,0.35
Maharashtra,0.37
Manipur,0.21
Meghalaya,0.22
Mizoram,0.27
Nagaland,0.22
Delhi,0.34
Odisha,0.30
Pondicherry,0.32
Punjab,0.31
Rajasthan,0.29
Sikkim,0.26
Tamil Nadu,0.33
Telangana,0.17
Tripura,0.25
Uttar Pradesh,0.31
Uttarakhand,0.35
West Bengal,0.33
